Type,name,description,note,status
pkgs,puppet-concat-2.2.0-2.fdf4a84git.el7.noarch        ,,,
pkgs,puppet-openstacklib-11.5.0-1.el7.tis.5.noarch      ,,,
pkgs,puppet-haproxy-1.5.0-4.6ffcb07git.el7.tis.4.noarch,,,
pkgs,puppet-vlan-0.1.0-1.el7.noarch,,,
pkgs,puppet-avs-1.0.0-11.tis.noarch,,,
pkgs,puppet-firewall-1.8.2-2.2f892e9git.el7.noarch,,,
pkgs,puppet-barbican-11.3.0-1.el7.noarch,,,
pkgs,puppet-nssdb-1.0.1-1.el7.noarch,,,
pkgs,puppet-4.8.2-1.el7.tis.2.noarch,,,
pkgs,puppet-apache-1.10.0-2.05a0aacgit.el7.noarch,,,
pkgs,puppet-rabbitmq-5.6.0-4.5ac45degit.el7.tis.6.noarch,,,
pkgs,puppet-keystone-11.3.0-1.el7.tis.8.noarch          ,git clone -b 11.3.0 git://github.com/openstack/puppet-keystone.git keystone,,
pkgs,puppet-ceph-2.4.1-1.el7.tis.11.noarch,,,
pkgs,puppet-etcd-1.11.0-1.f43e129git.el7.noarch         ,git clone --branch 1.11.0 https://github.com/cristifalcas/puppet-etcd.git  etcd,,
pkgs,puppet-kmod-2.1.1-2.0d69a96git.el7.noarch,,,
pkgs,puppet-create_resources-0.0.1-0.tis.2.noarch,,,
pkgs,puppet-inifile-1.6.0-2.c1f1d1egit.el7.noarch,,,
pkgs,puppet-staging-1.0.4-1.b466d93git.el7.tis.1.noarch,,,
pkgs,puppet-oslo-11.3.0-1.el7.tis.2.noarch,,,
pkgs,puppet-sysctl-0.0.11-1.el7.noarch,,,
pkgs,puppet-memcached-3.0.2-1.adf8b63git.el7.noarch,,,
pkgs,puppet-horizon-11.5.0-1.el7.tis.1.noarch,,,
pkgs,puppet-certmonger-1.1.1-1.1157a7egit.el7.noarch,,,
pkgs,puppet-stdlib-4.18.0-2.el7.tis.2.noarch,,,
pkgs,puppet-mysql-3.11.0-1.920dd76git.el7.noarch,,,
pkgs,puppet-collectd-5.1.0-2.4a3843cgit.el7.noarch,,,
pkgs,puppet-vswitch-7.3.0-1.el7.noarch,,,
pkgs,hiera-1.3.4-5.el7.noarch,,,
pkgs,kmod-drbd-8.4.11-1.tis.0.x86_64,,,
pkgs,drbd-utils-8.4.3-0.tis.7.x86_64,,,
pkgs,drbd-bash-completion-8.4.3-0.tis.7.x86_64,,,
pkgs,drbd-heartbeat-8.4.3-0.tis.7.x86_64,,,
pkgs,drbd-udev-8.4.3-0.tis.7.x86_64,,,
pkgs,drbd-8.4.3-0.tis.7.x86_64,,,
pkgs,drbd-pacemaker-8.4.3-0.tis.7.x86_64,,,
other,/usr/local/sbin/sm-notify missing , /usr/local/sbin/sm-notify should belong to sm-1.0.0-34.tis.x86_64,,
other,modprobe is not visible,"modprobe binary is put /sbin/modprobe, but /sbin is not in PATH env",,
other,Enable operationgsystem related facter variables,treat yocto(poky) as centos,1. add_poky_lsbdistid.diff 2. /etc/redhat-release,
other,/usr/bin/systemctl is assumed in puppet files,"in current yocto /bin/systemctl path is used, like: ./platform/manifests/ptp.pp:      command => '/usr/bin/systemctl disable ptp4l.service',",,
pkgs,openldap-clients-2.4.44-20.el7.tis.9.x86_64,,,
pkgs,openldap-config-1.0-0.tis.noarch,,,
pkgs,openldap-servers-2.4.44-20.el7.tis.9.x86_64,,,
pkgs,nss-pam-ldapd-0.8.13-16.el7.x86_64,,,
pkgs,openldap-2.4.44-20.el7.tis.9.x86_64,,,
pkgs,python2-ldappool-2.1.0-1.el7.noarch,,,
pkgs,nscd,,,
pkgs,pxe-network-installer-1.0-28.tis.x86_64? ,"if we target AIO simplex as a temporary goal, we can skip it for now, but bootstrap relies on directory of /pxeboot/ which is created by this package",,
pkgs,grubby-8.28-25.el7.tis.3.x86_64,,,
pkgs,dracut-033-554.el7.x86_64??? ?????????????????????,??(depended by grubby),,
pkgs,dracut-network-033-554.el7.x86_64,,,
pkgs,dracut-config-rescue-033-554.el7.x86_64,,,
pkgs,grub2-efi-x64-pxeboot-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-common-2.02-0.76.el7.centos.tis.12.noarch,,,
pkgs,grub2-tools-extra-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-efi-x64-modules-2.02-0.76.el7.centos.tis.12.noarch,,,
pkgs,grub2-tools-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-pc-modules-2.02-0.76.el7.centos.tis.12.noarch,,,
pkgs,grub2-tools-minimal-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-pc-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,grub2-efi-x64-2.02-0.76.el7.centos.tis.12.x86_64,,,
pkgs,libkrb5support0-1.16.1-r0.corei7_64.rpm,,,
pkgs,libk5crypto3-1.16.1-r0.corei7_64.rpm,,,
pkgs,libgssapi-krb5-2-1.16.1-r0.corei7_64.rpm,,,
pkgs,libkrb5-3-1.16.1-r0.corei7_64.rpm,,,
pkgs,libgssapi-krb5-2-1.16.1-r0.corei7_64.rpm,,,
pkgs,ldapscripts-2.0.8-r0.corei7_64.rpm,"And in STX ldapscripts package, ¡®/usr/local/etc/ldapscripts/ldapscripts.passwd¡¯ is assumed, but in Yocto, ¡®/etc/ldapscripts.passwd¡¯, it looks like a prefix problem again.",,
